Zone,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI
A9017,Male,AllSite,05yrs,152883,4570,597.824,567.932,627.715,69531,2247,646.208,613.897,678.518,78534,2254,573.911,545.215,602.606,3415,113,660.087,627.082,693.091,749,22,586.06,556.757,615.363,653,21,653.169,620.51,685.827
A9020,Male,AllSite,05yrs,150634,5047,670.046,636.543,703.548,35435,1072,605.248,574.985,635.51,109113,3631,665.518,632.242,698.794,3861,121,627.677,596.293,659.061,1723,53,618.783,587.844,649.722,502,16,624.233,593.021,655.444
A9034,Male,AllSite,05yrs,151126,4632,612.977,582.328,643.626,89232,2865,642.11,610.004,674.215,55056,1802,654.728,621.992,687.465,4290,116,539.198,512.238,566.158,1796,56,621.389,590.319,652.458,753,23,612.517,581.891,643.143
A9038,Male,AllSite,05yrs,154358,5058,655.379,622.61,688.148,107600,3224,599.23,569.269,629.192,34600,948,547.829,520.437,575.22,8952,258,576.099,547.294,604.904,2463,72,585.861,556.568,615.154,742,23,631.565,599.987,663.143
Statewide,Male,Prostate,05yrs,11309562,100498,177.723,168.837,186.609,6857584,44784,130.612,124.081,137.142,3574132,23779,133.062,126.408,139.715,590465,3795,128.538,122.111,134.965,209924,1472,140.239,133.227,147.251,77457,556,143.584,136.405,150.764
A9010,Male,Prostate,05yrs,150288,1435,191.018,181.467,200.569,98273,662,134.738,128.001,141.475,40669,319,156.685,148.851,164.519,6696,59,175.347,166.58,184.114,4009,29,147.13,139.774,154.487,640,,,,
A9013,Male,Prostate,05yrs,150440,1572,209.007,198.557,219.457,105746,945,178.811,169.87,187.751,28537,189,132.69,126.056,139.325,12492,127,203.558,193.38,213.736,2938,30,203.041,192.889,213.193,728,,,,
A9017,Male,Prostate,05yrs,152883,1510,197.517,187.641,207.393,69531,566,162.811,154.671,170.952,78534,733,186.771,177.432,196.109,3415,25,144.454,137.231,151.677,749,,,,,653,,,,
A9020,Male,Prostate,05yrs,150634,1074,142.563,135.435,149.691,35435,260,146.954,139.607,154.302,109113,743,136.099,129.294,142.904,3861,27,141.351,134.283,148.418,1723,,,,,502,,,,
A9034,Male,Prostate,05yrs,151126,1247,165,156.75,173.25,89232,591,132.481,125.857,139.105,55056,430,156.354,148.536,164.172,4290,36,167.583,159.204,175.962,1796,18,205.761,195.473,216.049,753,,,,
A9038,Male,Prostate,05yrs,154358,1187,153.799,146.109,161.489,107600,712,132.365,125.746,138.983,34600,246,142.257,135.144,149.37,8952,81,181.995,172.895,191.094,2463,22,178.183,169.274,187.092,742,,,,
Statewide,Both,Lung,05yrs,23126262,55623,48.104,45.699,50.509,13930420,38083,54.676,51.942,57.41,7523094,32128,85.411,81.141,89.682,1088062,3302,60.704,57.668,63.739,427251,1152,53.905,51.21,56.6,157435,696,88.457,84.034,92.88
A9010,Both,Lung,05yrs,316394,1379,87.178,82.819,91.537,207391,874,84.288,80.074,88.502,86956,298,68.531,65.104,71.958,12468,50,80.954,76.906,85.001,8086,29,71.312,67.746,74.877,1493,,,,
A9013,Both,Lung,05yrs,300620,908,60.399,57.379,63.419,210982,771,73.108,69.452,76.763,58714,153,51.99,49.39,54.589,22638,57,50.694,48.159,53.229,6648,29,86.833,82.491,91.175,1639,,,,
A9017,Both,Lung,05yrs,314711,844,53.616,50.935,56.297,138925,471,67.814,64.424,71.205,166179,672,80.817,76.776,84.858,6472,21,64.304,61.089,67.519,1793,,,,,1343,,,,
A9020,Both,Lung,05yrs,329288,1030,62.566,59.438,65.694,73493,297,80.708,76.673,84.744,243898,950,77.905,74.01,81.8,7267,31,86.331,82.014,90.647,3460,,,,,1169,,,,
A9034,Both,Lung,05yrs,313318,1237,78.959,75.011,82.907,182547,570,62.456,59.334,65.579,117246,315,53.775,51.087,56.464,8199,36,88.11,83.705,92.516,3826,16,84.651,80.419,88.884,1499,,,,
A9038,Both,Lung,05yrs,316397,828,52.315,49.699,54.931,217421,799,73.457,69.784,77.129,75005,192,51.221,48.66,53.782,16566,41,49.884,47.39,52.378,5924,19,64.499,61.274,67.724,1480,,,,
Statewide,Female,Lung,05yrs,11816700,29067,49.196,46.736,51.656,7072836,17469,49.398,46.928,51.868,3948962,10198,51.651,49.068,54.233,497597,1609,64.68,61.446,67.914,217327,676,62.227,59.116,65.339,79978,275,68.776,65.337,72.215
A9010,Female,Lung,05yrs,166106,448,53.886,51.191,56.58,109118,224,40.98,38.931,43.029,46287,123,53.201,50.541,55.861,5772,19,64.845,61.603,68.088,4077,,,,,853,,,,
A9013,Female,Lung,05yrs,150180,480,63.891,60.696,67.085,105236,363,68.967,65.519,72.415,30177,72,47.865,45.471,50.258,10146,30,59.613,56.632,62.593,3710,,,,,911,,,,
A9017,Female,Lung,05yrs,161828,465,57.451,54.578,60.323,69394,250,72.144,68.537,75.751,87644,238,54.347,51.63,57.064,3056,,,,,1044,,,,,689,,,,
A9020,Female,Lung,05yrs,178654,632,70.701,67.166,74.236,38058,135,70.719,67.183,74.255,134785,351,52.139,49.532,54.746,3406,,,,,1737,,,,,668,,,,
A9034,Female,Lung,05yrs,162192,489,60.253,57.24,63.265,93315,219,47.004,44.654,49.355,62191,222,71.446,67.874,75.018,3909,,,,,2031,,,,,747,,,,
A9038,Female,Lung,05yrs,162039,411,50.767,48.229,53.306,109821,248,45.099,42.844,47.354,40405,87,43.207,41.047,45.367,7614,19,48.984,46.535,51.433,3461,,,,,738,,,,
Statewide,Male,Lung,05yrs,11309562,67330,119.067,113.113,125.02,6857584,32851,95.809,91.018,100.599,3574132,11546,64.61,61.38,67.841,590465,2834,96.004,91.203,100.804,209924,875,83.336,79.169,87.503,77457,255,65.826,62.534,69.117
A9010,Male,Lung,05yrs,150288,654,87.085,82.731,91.439,98273,375,76.364,72.545,80.182,40669,190,93.497,88.822,98.172,6696,24,71.959,68.361,75.557,4009,16,81.49,77.415,85.564,640,,,,
A9013,Male,Lung,05yrs,150440,465,61.785,58.695,64.874,105746,380,71.863,68.27,75.456,28537,77,53.66,50.977,56.343,12492,50,80.028,76.027,84.03,2938,17,117.536,111.659,123.413,728,,,,
A9017,Male,Lung,05yrs,152883,788,103.049,97.896,108.201,69531,281,80.753,76.715,84.79,78534,267,68.055,64.652,71.457,3415,,,,,749,,,,,653,,,,
A9020,Male,Lung,05yrs,150634,525,69.737,66.25,73.224,35435,157,88.398,83.978,92.818,109113,497,91.025,86.474,95.577,3861,23,118.166,112.258,124.074,1723,,,,,502,,,,
A9034,Male,Lung,05yrs,151126,415,54.935,52.188,57.682,89232,317,71.155,67.598,74.713,55056,264,96.006,91.206,100.807,4290,17,78.471,74.548,82.395,1796,,,,,753,,,,
A9038,Male,Lung,05yrs,154358,834,108.119,102.713,113.524,107600,464,86.209,81.899,90.52,34600,144,83.193,79.033,87.353,8952,51,114.468,108.745,120.192,2463,,,,,742,,,,
Statewide,Female,Breast,05yrs,11816700,82328,139.341,132.374,146.308,7072836,48721,137.771,130.882,144.659,3948962,21161,107.171,101.812,112.529,497597,2761,110.978,105.429,116.527,217327,1464,134.73,127.993,141.466,79978,400,99.946,94.949,104.943
A9010,Female,Breast,05yrs,166106,1039,125.129,118.873,131.386,109118,639,117.12,111.264,122.976,46287,298,128.553,122.125,134.981,5772,35,122.048,115.945,128.15,4077,28,139.477,132.503,146.451,853,,,,
A9013,Female,Breast,05yrs,150180,928,123.526,117.35,129.703,105236,661,125.665,119.382,131.949,30177,155,102.983,97.834,108.132,10146,70,138.233,131.321,145.145,3710,19,101.857,96.764,106.95,911,,,,
A9017,Female,Breast,05yrs,161828,1020,126.022,119.721,132.323,69394,352,101.514,96.438,106.589,87644,480,109.55,104.073,115.028,3056,17,107.998,102.598,113.398,1044,,,,,689,,,,
A9020,Female,Breast,05yrs,178654,1158,129.588,123.109,136.067,38058,216,113.347,107.68,119.015,134785,960,142.443,135.32,149.565,3406,24,139.569,132.591,146.548,1737,,,,,668,,,,
A9034,Female,Breast,05yrs,162192,1081,133.246,126.584,139.908,93315,518,111.089,105.534,116.643,62191,312,100.311,95.295,105.326,3909,22,113.005,107.355,118.655,2031,,,,,747,,,,
A9038,Female,Breast,05yrs,162039,1113,137.349,130.482,144.217,109821,561,102.164,97.056,107.272,40405,229,113.321,107.655,118.987,7614,37,96.439,91.617,101.261,3461,19,109.985,104.486,115.484,738,,,,
Statewide,Both,CRC,05yrs,23126262,60625,52.43,49.808,55.051,13930420,27588,39.608,37.628,41.589,7523094,13629,36.232,34.421,38.044,1088062,2964,54.488,51.763,57.212,427251,1160,54.314,51.599,57.03,157435,469,59.565,56.587,62.544
A9010,Both,CRC,05yrs,316394,552,34.873,33.129,36.617,207391,385,37.102,35.246,38.957,86956,229,52.568,49.939,55.196,12468,28,45.677,43.393,47.961,8086,17,42.535,40.408,44.662,1493,,,,
A9013,Both,CRC,05yrs,300620,631,41.959,39.861,44.057,210982,545,51.676,49.092,54.259,58714,116,39.629,37.647,41.61,22638,48,42.075,39.971,44.178,6648,,,,,1639,,,,
A9017,Both,CRC,05yrs,314711,910,57.832,54.94,60.724,138925,267,38.375,36.456,40.294,166179,454,54.653,51.921,57.386,6472,18,54.383,51.664,57.102,1793,,,,,1343,,,,
A9020,Both,CRC,05yrs,329288,798,48.483,46.059,50.907,73493,197,53.572,50.894,56.251,243898,535,43.831,41.64,46.023,7267,,,,,3460,,,,,1169,,,,
A9034,Both,CRC,05yrs,313318,937,59.809,56.818,62.799,182547,557,61.029,57.978,64.081,117246,224,38.185,36.276,40.094,8199,20,48.436,46.014,50.858,3826,,,,,1499,,,,
A9038,Both,CRC,05yrs,316397,855,54.016,51.316,56.717,217421,403,37.055,35.203,38.908,75005,172,45.829,43.538,48.121,16566,49,59.07,56.116,62.023,5924,,,,,1480,,,,
Statewide,Female,CRC,05yrs,11816700,25569,43.276,41.112,45.44,7072836,13478,38.112,36.207,40.018,3948962,7072,35.817,34.026,37.608,497597,866,34.821,33.08,36.562,217327,534,49.107,46.652,51.562,79978,137,34.239,32.527,35.951
A9010,Female,CRC,05yrs,166106,268,32.233,30.622,33.845,109118,187,34.358,32.64,36.075,46287,78,33.833,32.141,35.525,5772,,,,,4077,,,,,853,,,,
A9013,Female,CRC,05yrs,150180,364,48.529,46.102,50.955,105236,204,38.784,36.845,40.723,30177,58,38.135,36.228,40.042,10146,17,34.329,32.613,36.046,3710,,,,,911,,,,
A9017,Female,CRC,05yrs,161828,297,36.646,34.814,38.479,69394,184,52.912,50.266,55.558,87644,138,31.52,29.944,33.096,3056,,,,,1044,,,,,689,,,,
A9020,Female,CRC,05yrs,178654,332,37.198,35.338,39.058,38058,91,47.577,45.198,49.956,134785,291,43.114,40.959,45.27,3406,,,,,1737,,,,,668,,,,
A9034,Female,CRC,05yrs,162192,366,45.107,42.852,47.362,93315,173,37.156,35.298,39.014,62191,103,33.105,31.449,34.76,3909,,,,,2031,,,,,747,,,,
A9038,Female,CRC,05yrs,162039,320,39.515,37.539,41.49,109821,187,34.145,32.438,35.853,40405,78,38.533,36.606,40.46,7614,,,,,3461,,,,,738,,,,
Statewide,Male,CRC,05yrs,11309562,31208,55.189,52.43,57.949,6857584,17130,49.958,47.46,52.456,3574132,9252,51.772,49.184,54.361,590465,1613,54.621,51.89,57.352,209924,661,62.984,59.834,66.133,77457,246,63.645,60.463,66.827
A9010,Male,CRC,05yrs,150288,380,50.544,48.017,53.072,98273,320,65.212,61.951,68.472,40669,81,40.072,38.068,42.075,6696,25,74.193,70.484,77.903,4009,,,,,640,,,,
A9013,Male,CRC,05yrs,150440,475,63.085,59.931,66.239,105746,251,47.507,45.132,49.883,28537,100,70.23,66.718,73.741,12492,36,56.926,54.079,59.772,2938,,,,,728,,,,
A9017,Male,CRC,05yrs,152883,297,38.85,36.907,40.792,69531,173,49.718,47.232,52.203,78534,243,61.874,58.78,64.967,3415,,,,,749,,,,,653,,,,
A9020,Male,CRC,05yrs,150634,561,74.533,70.806,78.259,35435,101,56.793,53.954,59.633,109113,399,73.176,69.518,76.835,3861,,,,,1723,,,,,502,,,,
A9034,Male,CRC,05yrs,151126,466,61.698,58.613,64.783,89232,165,36.919,35.073,38.765,55056,193,70.009,66.508,73.509,4290,,,,,1796,,,,,753,,,,
A9038,Male,CRC,05yrs,154358,405,52.515,49.889,55.141,107600,199,37.038,35.186,38.89,34600,126,72.8,69.16,76.44,8952,24,54.573,51.845,57.302,2463,,,,,742,,,,
Statewide,Both,Kidney,05yrs,23126262,23409,20.245,19.232,21.257,13930420,15343,22.028,20.927,23.13,7523094,8986,23.89,22.695,25.084,1088062,1047,19.237,18.275,20.199,427251,490,22.961,21.813,24.109,157435,180,22.824,21.683,23.966
A9010,Both,Kidney,05yrs,316394,381,24.069,22.865,25.272,207391,173,16.682,15.848,17.516,86956,89,20.476,19.452,21.5,12468,,,,,8086,,,,,1493,,,,
A9013,Both,Kidney,05yrs,300620,269,17.875,16.981,18.769,210982,274,26.015,24.714,27.315,58714,61,20.933,19.887,21.98,22638,18,15.576,14.797,16.355,6648,,,,,1639,,,,
A9017,Both,Kidney,05yrs,314711,352,22.367,21.249,23.485,138925,134,19.232,18.27,20.193,166179,192,23.103,21.948,24.259,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Kidney,05yrs,329288,374,22.69,21.555,23.824,73493,69,18.794,17.855,19.734,243898,239,19.62,18.639,20.601,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Kidney,05yrs,313318,260,16.57,15.741,17.398,182547,207,22.665,21.532,23.798,117246,93,15.869,15.075,16.662,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Kidney,05yrs,316397,385,24.339,23.122,25.556,217421,282,25.896,24.601,27.191,75005,67,17.806,16.915,18.696,16566,,,,,5924,,,,,1480,,,,
Statewide,Female,Kidney,05yrs,11816700,12047,20.389,19.37,21.409,7072836,4519,12.777,12.138,13.416,3948962,2040,10.33,9.813,10.846,497597,487,19.57,18.591,20.548,217327,239,22.022,20.921,23.123,79978,48,12.127,11.521,12.734
A9010,Female,Kidney,05yrs,166106,147,17.696,16.811,18.581,109118,75,13.663,12.979,14.346,46287,44,19.165,18.207,20.123,5772,,,,,4077,,,,,853,,,,
A9013,Female,Kidney,05yrs,150180,85,11.273,10.709,11.836,105236,99,18.738,17.801,19.675,30177,31,20.371,19.353,21.39,10146,,,,,3710,,,,,911,,,,
A9017,Female,Kidney,05yrs,161828,89,11.061,10.508,11.614,69394,44,12.625,11.993,13.256,87644,70,15.876,15.082,16.67,3056,,,,,1044,,,,,689,,,,
A9020,Female,Kidney,05yrs,178654,128,14.333,13.616,15.05,38058,25,13.051,12.399,13.704,134785,84,12.482,11.858,13.106,3406,,,,,1737,,,,,668,,,,
A9034,Female,Kidney,05yrs,162192,179,22.031,20.929,23.132,93315,104,22.368,21.249,23.486,62191,62,19.978,18.979,20.977,3909,,,,,2031,,,,,747,,,,
A9038,Female,Kidney,05yrs,162039,90,11.065,10.512,11.618,109821,89,16.233,15.421,17.044,40405,38,18.744,17.807,19.682,7614,,,,,3461,,,,,738,,,,
Statewide,Male,Kidney,05yrs,11309562,18337,32.427,30.806,34.048,6857584,8368,24.406,23.186,25.626,3574132,6543,36.614,34.784,38.445,590465,653,22.121,21.015,23.228,209924,356,33.953,32.255,35.65,77457,127,32.793,31.154,34.433
A9010,Male,Kidney,05yrs,150288,221,29.366,27.898,30.834,98273,155,31.602,30.021,33.182,40669,42,20.826,19.784,21.867,6696,,,,,4009,,,,,640,,,,
A9013,Male,Kidney,05yrs,150440,134,17.841,16.949,18.734,105746,153,28.991,27.541,30.441,28537,37,26.121,24.815,27.427,12492,,,,,2938,,,,,728,,,,
A9017,Male,Kidney,05yrs,152883,139,18.152,17.245,19.06,69531,127,36.609,34.779,38.44,78534,144,36.605,34.775,38.436,3415,,,,,749,,,,,653,,,,
A9020,Male,Kidney,05yrs,150634,149,19.826,18.834,20.817,35435,50,28.107,26.701,29.512,109113,140,25.644,24.362,26.926,3861,,,,,1723,,,,,502,,,,
A9034,Male,Kidney,05yrs,151126,258,34.199,32.489,35.909,89232,98,21.939,20.842,23.036,55056,60,21.778,20.689,22.866,4290,,,,,1796,,,,,753,,,,
A9038,Male,Kidney,05yrs,154358,275,35.613,33.832,37.393,107600,124,23.133,21.976,24.289,34600,42,24.543,23.316,25.77,8952,,,,,2463,,,,,742,,,,
Statewide,Both,NHL,05yrs,23126262,26447,22.872,21.728,24.015,13930420,9952,14.289,13.574,15.003,7523094,5511,14.652,13.919,15.384,1088062,1045,19.21,18.25,20.171,427251,363,16.993,16.144,17.843,157435,159,20.24,19.228,21.252
A9010,Both,NHL,05yrs,316394,292,18.44,17.518,19.362,207391,181,17.5,16.625,18.375,86956,93,21.341,20.274,22.408,12468,,,,,8086,,,,,1493,,,,
A9013,Both,NHL,05yrs,300620,364,24.194,22.984,25.404,210982,260,24.658,23.425,25.89,58714,47,16.134,15.327,16.941,22638,16,14.402,13.682,15.122,6648,,,,,1639,,,,
A9017,Both,NHL,05yrs,314711,372,23.646,22.464,24.828,138925,100,14.42,13.699,15.141,166179,129,15.573,14.794,16.351,6472,,,,,1793,,,,,1343,,,,
A9020,Both,NHL,05yrs,329288,340,20.645,19.612,21.677,73493,77,20.954,19.906,22.002,243898,185,15.156,14.398,15.914,7267,,,,,3460,,,,,1169,,,,
A9034,Both,NHL,05yrs,313318,248,15.822,15.031,16.613,182547,218,23.844,22.652,25.036,117246,107,18.331,17.415,19.248,8199,,,,,3826,,,,,1499,,,,
A9038,Both,NHL,05yrs,316397,301,19.05,18.098,20.003,217421,202,18.606,17.676,19.537,75005,70,18.681,17.747,19.615,16566,20,23.722,22.536,24.908,5924,,,,,1480,,,,
Statewide,Female,NHL,05yrs,11816700,8252,13.967,13.269,14.666,7072836,5157,14.583,13.854,15.312,3948962,2134,10.81,10.269,11.35,497597,482,19.378,18.41,20.347,217327,136,12.546,11.919,13.174,79978,88,21.913,20.817,23.008
A9010,Female,NHL,05yrs,166106,188,22.67,21.536,23.803,109118,116,21.174,20.115,22.233,46287,51,22.181,21.072,23.29,5772,,,,,4077,,,,,853,,,,
A9013,Female,NHL,05yrs,150180,153,20.407,19.387,21.428,105236,107,20.358,19.34,21.376,30177,21,13.74,13.053,14.427,10146,,,,,3710,,,,,911,,,,
A9017,Female,NHL,05yrs,161828,88,10.865,10.322,11.409,69394,79,22.903,21.758,24.049,87644,45,10.338,9.821,10.855,3056,,,,,1044,,,,,689,,,,
A9020,Female,NHL,05yrs,178654,108,12.107,11.502,12.712,38058,20,10.338,9.821,10.855,134785,70,10.323,9.807,10.839,3406,,,,,1737,,,,,668,,,,
A9034,Female,NHL,05yrs,162192,163,20.128,19.122,21.135,93315,43,9.321,8.855,9.787,62191,66,21.255,20.192,22.318,3909,,,,,2031,,,,,747,,,,
A9038,Female,NHL,05yrs,162039,114,14.026,13.324,14.727,109821,106,19.303,18.338,20.268,40405,38,18.577,17.648,19.506,7614,,,,,3461,,,,,738,,,,
Statewide,Male,NHL,05yrs,11309562,10091,17.846,16.953,18.738,6857584,9653,28.154,26.746,29.561,3574132,5465,30.579,29.05,32.108,590465,500,16.93,16.084,17.777,209924,264,25.184,23.925,26.443,77457,76,19.728,18.742,20.715
A9010,Male,NHL,05yrs,150288,206,27.418,26.047,28.789,98273,150,30.58,29.051,32.109,40669,45,22.089,20.985,23.193,6696,,,,,4009,,,,,640,,,,
A9013,Male,NHL,05yrs,150440,245,32.59,30.96,34.219,105746,171,32.436,30.814,34.058,28537,43,29.834,28.342,31.325,12492,,,,,2938,,,,,728,,,,
A9017,Male,NHL,05yrs,152883,161,21.016,19.966,22.067,69531,60,17.212,16.351,18.073,78534,100,25.359,24.091,26.627,3415,,,,,749,,,,,653,,,,
A9020,Male,NHL,05yrs,150634,246,32.702,31.067,34.337,35435,36,20.07,19.066,21.073,109113,161,29.538,28.061,31.015,3861,,,,,1723,,,,,502,,,,
A9034,Male,NHL,05yrs,151126,155,20.522,19.496,21.548,89232,76,17.038,16.186,17.89,55056,46,16.665,15.832,17.499,4290,,,,,1796,,,,,753,,,,
A9038,Male,NHL,05yrs,154358,245,31.778,30.189,33.367,107600,176,32.744,31.107,34.382,34600,27,15.677,14.893,16.461,8952,,,,,2463,,,,,742,,,,
Statewide,Both,Urinary,05yrs,23126262,24721,21.379,20.31,22.448,13930420,15381,22.082,20.978,23.186,7523094,9179,24.401,23.181,25.622,1088062,1376,25.289,24.024,26.553,427251,342,16.027,15.225,16.828,157435,159,20.142,19.135,21.149
A9010,Both,Urinary,05yrs,316394,421,26.63,25.298,27.961,207391,161,15.567,14.789,16.346,86956,91,20.894,19.849,21.939,12468,16,26.428,25.106,27.749,8086,,,,,1493,,,,
A9013,Both,Urinary,05yrs,300620,403,26.828,25.486,28.169,210982,193,18.29,17.375,19.204,58714,73,24.944,23.697,26.191,22638,19,16.814,15.973,17.655,6648,,,,,1639,,,,
A9017,Both,Urinary,05yrs,314711,316,20.11,19.105,21.116,138925,136,19.536,18.56,20.513,166179,106,12.717,12.082,13.353,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Urinary,05yrs,329288,255,15.507,14.731,16.282,73493,80,21.857,20.764,22.95,243898,264,21.612,20.532,22.693,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Urinary,05yrs,313318,211,13.494,12.819,14.169,182547,209,22.906,21.761,24.051,117246,146,24.893,23.649,26.138,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Urinary,05yrs,316397,340,21.496,20.421,22.571,217421,235,21.662,20.579,22.745,75005,55,14.65,13.918,15.383,16566,17,20.099,19.094,21.104,5924,,,,,1480,,,,
Statewide,Female,Urinary,05yrs,11816700,2947,4.988,4.738,5.237,7072836,1668,4.718,4.482,4.953,3948962,1269,6.428,6.107,6.75,497597,173,6.971,6.622,7.319,217327,55,5.035,4.783,5.287,79978,22,5.513,5.238,5.789
A9010,Female,Urinary,05yrs,166106,59,7.109,6.754,7.465,109118,72,13.244,12.582,13.906,46287,,,,,5772,,,,,4077,,,,,853,,,,
A9013,Female,Urinary,05yrs,150180,102,13.591,12.911,14.27,105236,38,7.145,6.788,7.502,30177,,,,,10146,,,,,3710,,,,,911,,,,
A9017,Female,Urinary,05yrs,161828,54,6.687,6.353,7.021,69394,44,12.795,12.155,13.434,87644,42,9.548,9.071,10.026,3056,,,,,1044,,,,,689,,,,
A9020,Female,Urinary,05yrs,178654,90,10.045,9.542,10.547,38058,,,,,134785,49,7.222,6.861,7.583,3406,,,,,1737,,,,,668,,,,
A9034,Female,Urinary,05yrs,162192,30,3.754,3.566,3.942,93315,49,10.529,10.002,11.055,62191,39,12.582,11.953,13.211,3909,,,,,2031,,,,,747,,,,
A9038,Female,Urinary,05yrs,162039,32,3.936,3.739,4.133,109821,70,12.804,12.164,13.444,40405,19,9.337,8.87,9.804,7614,,,,,3461,,,,,738,,,,
Statewide,Male,Urinary,05yrs,11309562,26991,47.731,45.344,50.117,6857584,7037,20.523,19.497,21.549,3574132,4815,26.944,25.597,28.292,590465,1087,36.813,34.973,38.654,209924,376,35.832,34.04,37.624,77457,152,39.286,37.322,41.25
A9010,Male,Urinary,05yrs,150288,270,35.898,34.103,37.692,98273,171,34.825,33.084,36.566,40669,50,24.763,23.525,26.001,6696,,,,,4009,,,,,640,,,,
A9013,Male,Urinary,05yrs,150440,273,36.353,34.535,38.171,105746,201,37.946,36.049,39.844,28537,51,35.543,33.766,37.32,12492,18,28.981,27.532,30.43,2938,,,,,728,,,,
A9017,Male,Urinary,05yrs,152883,244,31.856,30.263,33.449,69531,121,34.78,33.041,36.519,78534,122,31.14,29.583,32.697,3415,,,,,749,,,,,653,,,,
A9020,Male,Urinary,05yrs,150634,172,22.837,21.695,23.979,35435,44,25.048,23.796,26.301,109113,202,37.056,35.203,38.909,3861,,,,,1723,,,,,502,,,,
A9034,Male,Urinary,05yrs,151126,234,30.952,29.405,32.5,89232,119,26.734,25.397,28.07,55056,62,22.374,21.256,23.493,4290,,,,,1796,,,,,753,,,,
A9038,Male,Urinary,05yrs,154358,200,25.94,24.643,27.237,107600,262,48.676,46.242,51.11,34600,75,43.159,41.001,45.317,8952,19,41.706,39.621,43.791,2463,,,,,742,,,,
Statewide,Both,Mela,05yrs,23126262,16938,14.649,13.916,15.381,13930420,10100,14.501,13.776,15.226,7523094,1536,4.083,3.879,4.288,1088062,272,5.005,4.755,5.255,427251,364,17.061,16.208,17.914,157435,42,5.283,5.019,5.547
A9010,Both,Mela,05yrs,316394,137,8.684,8.25,9.118,207391,252,24.273,23.059,25.487,86956,78,17.843,16.951,18.735,12468,16,25.266,24.003,26.53,8086,,,,,1493,,,,
A9013,Both,Mela,05yrs,300620,346,23.045,21.892,24.197,210982,285,26.978,25.629,28.327,58714,20,6.973,6.624,7.321,22638,31,27.719,26.333,29.105,6648,,,,,1639,,,,
A9017,Both,Mela,05yrs,314711,264,16.803,15.963,17.643,138925,132,19.03,18.079,19.982,166179,53,6.364,6.045,6.682,6472,,,,,1793,,,,,1343,,,,
A9020,Both,Mela,05yrs,329288,427,25.962,24.664,27.26,73493,45,12.291,11.676,12.905,243898,66,5.441,5.169,5.713,7267,,,,,3460,,,,,1169,,,,
A9034,Both,Mela,05yrs,313318,277,17.713,16.828,18.599,182547,120,13.183,12.523,13.842,117246,61,10.324,9.808,10.841,8199,,,,,3826,,,,,1499,,,,
A9038,Both,Mela,05yrs,316397,395,24.946,23.698,26.193,217421,76,7.013,6.662,7.364,75005,44,11.746,11.158,12.333,16566,22,26.372,25.054,27.691,5924,,,,,1480,,,,
Statewide,Female,Mela,05yrs,11816700,3426,5.799,5.509,6.089,7072836,8279,23.411,22.24,24.581,3948962,4046,20.492,19.468,21.517,497597,180,7.22,6.859,7.581,217327,129,11.827,11.236,12.419,79978,,,,
A9010,Female,Mela,05yrs,166106,49,5.853,5.56,6.145,109118,81,14.893,14.149,15.638,46287,32,13.832,13.14,14.523,5772,,,,,4077,,,,,853,,,,
A9013,Female,Mela,05yrs,150180,26,3.416,3.245,3.587,105236,,,,,30177,,,,,10146,,,,,3710,,,,,911,,,,
A9017,Female,Mela,05yrs,161828,122,15.05,14.297,15.802,69394,40,11.644,11.061,12.226,87644,52,11.868,11.274,12.461,3056,,,,,1044,,,,,689,,,,
A9020,Female,Mela,05yrs,178654,170,19.025,18.073,19.976,38058,43,22.593,21.463,23.723,134785,148,21.927,20.831,23.024,3406,,,,,1737,,,,,668,,,,
A9034,Female,Mela,05yrs,162192,148,18.189,17.279,19.098,93315,96,20.589,19.559,21.618,62191,49,15.617,14.836,16.398,3909,,,,,2031,,,,,747,,,,
A9038,Female,Mela,05yrs,162039,177,21.791,20.702,22.881,109821,82,14.855,14.112,15.597,40405,34,16.786,15.947,17.626,7614,,,,,3461,,,,,738,,,,
Statewide,Male,Mela,05yrs,11309562,3950,6.985,6.636,7.334,6857584,10498,30.616,29.086,32.147,3574132,1989,11.133,10.576,11.689,590465,534,18.1,17.195,19.005,209924,239,22.781,21.642,23.92,77457,47,12.147,11.54,12.754
A9010,Male,Mela,05yrs,150288,209,27.753,26.366,29.141,98273,74,15.015,14.264,15.765,40669,66,32.534,30.907,34.16,6696,,,,,4009,,,,,640,,,,
A9013,Male,Mela,05yrs,150440,62,8.233,7.821,8.644,105746,77,14.639,13.908,15.371,28537,58,40.685,38.651,42.719,12492,21,32.954,31.306,34.601,2938,,,,,728,,,,
